Category,File Name,Title,Creator,Description,Keywords,Artwork_Type,SpacesSet,flickrid,flickrpageurl,flickrimageurl,flickrimageurl_text,username,nsid,pathalias
SET 27,4762795084.jpg,Astor Court,Wan-Tin Ong,Astor Court at The Met,"Wan-Tin Ong: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Wan-Tin Ong: metropolitan,Wan-Tin Ong: museum,Wan-Tin Ong: art,Wan-Tin Ong: met,3D,Artwork,Space,architecture,Art2or3",Architecture,DeptSpaces,4762795084,https://www.flickr.com/photos/ongwantin/4762795084/,http://c2.staticflickr.com/5/4115/4762795084_a1895af85d.jpg,http://c2.staticflickr.com/5/4115/4762795084_a1895af85d.jpg,Wan-Tin Ong,51737376@N02,ongwantin
SET 27,4762817736.jpg,Arms and Armor,Wan-Tin Ong,The Met,"Wan-Tin Ong: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Wan-Tin Ong: metropolitan,Wan-Tin Ong: museum,Wan-Tin Ong: art,Wan-Tin Ong: met,3D,Artwork,Space,Arms_Armor,Art2or3,arms_armor",Arms_Armor,DeptSpaces,4762817736,https://www.flickr.com/photos/ongwantin/4762817736/,http://c2.staticflickr.com/5/4075/4762817736_b551258e90.jpg,http://c2.staticflickr.com/5/4075/4762817736_b551258e90.jpg,Wan-Tin Ong,51737376@N02,ongwantin
SET 27,4762873882.jpg,The Metropolitan Museum of Art,Alex E. Pajares,"&quot;You can be as mad as a mad dog at the way things went. You could swear, curse the fates, but when it comes to the end, you have to let go. All you can do is to be grateful for the unexpected happy moments and smile.&quot;","Alex E. Pajares: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4762873882,https://www.flickr.com/photos/51386079@N08/4762873882/,http://c2.staticflickr.com/5/4122/4762873882_547ea8f939.jpg,http://c2.staticflickr.com/5/4122/4762873882_547ea8f939.jpg,Alex E. Pajares,51386079@N08,
SET 27,4763539017.jpg,sculpture,testher83,artist drawing in garden,"testher83: timewemet2110,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4763539017,https://www.flickr.com/photos/hiddenpiece/4763539017/,http://c2.staticflickr.com/5/4121/4763539017_eeeda038dc.jpg,http://c2.staticflickr.com/5/4121/4763539017_eeeda038dc.jpg,testher83,31226420@N05,hiddenpiece
SET 27,4763594149.jpg,AMERICAN COURT,testher83,looking for good luck coins,"testher83: timewemet2110,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4763594149,https://www.flickr.com/photos/hiddenpiece/4763594149/,http://c2.staticflickr.com/5/4076/4763594149_89d52fe1c6.jpg,http://c2.staticflickr.com/5/4076/4763594149_89d52fe1c6.jpg,testher83,31226420@N05,hiddenpiece
SET 27,4766929230.jpg,"Thanks, I must have dropped that!",NA,bear toe share photo,"bear toe share photo: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4766929230,https://www.flickr.com/photos/12579476@N06/4766929230/,http://c2.staticflickr.com/5/4093/4766929230_4ff2700fb5.jpg,http://c2.staticflickr.com/5/4093/4766929230_4ff2700fb5.jpg,bear toe share photo,12579476@N06,
SET 27,4769903905.jpg,Statues and Friends,NA,doctorberat,"doctorberat: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Family photos Early Summer 2010,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4769903905,https://www.flickr.com/photos/51878047@N08/4769903905/,http://c2.staticflickr.com/5/4074/4769903905_6704faab6c.jpg,http://c2.staticflickr.com/5/4074/4769903905_6704faab6c.jpg,doctorberat,51878047@N08,
SET 27,4769906637.jpg,Statue and Human Pyramid,NA,doctorberat,"doctorberat: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Family Photos school year 2009-2010 and early summer,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4769906637,https://www.flickr.com/photos/51878047@N08/4769906637/,http://c2.staticflickr.com/5/4122/4769906637_1ddee0d9c5.jpg,http://c2.staticflickr.com/5/4122/4769906637_1ddee0d9c5.jpg,doctorberat,51878047@N08,
SET 27,4769906971.jpg,Statue and Friends,NA,doctorberat,"doctorberat: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Family Photos school year 2009-2010 and early summer,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4769906971,https://www.flickr.com/photos/51878047@N08/4769906971/,http://c2.staticflickr.com/5/4096/4769906971_8f5acccdb7.jpg,http://c2.staticflickr.com/5/4096/4769906971_8f5acccdb7.jpg,doctorberat,51878047@N08,
SET 27,4770545356.jpg,Sphinx and Friends,NA,doctorberat,"doctorberat: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Family photos Early Summer 2010,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4770545356,https://www.flickr.com/photos/51878047@N08/4770545356/,http://c2.staticflickr.com/5/4120/4770545356_3c763b19b6.jpg,http://c2.staticflickr.com/5/4120/4770545356_3c763b19b6.jpg,doctorberat,51878047@N08,
